Datetime,Open,High,Low,Close,Volume
2024-10-07 13:30:00,224.516,225.047,224.317,224.466,3467.9999
2024-10-07 13:31:00,224.466,224.957,224.466,224.837,1883.9999
2024-10-07 13:32:00,224.867,224.936,224.577,224.786,1584.0
2024-10-07 13:33:00,224.777,224.827,224.266,224.556,1956.0
2024-10-07 13:34:00,224.556,224.676,224.316,224.397,2244.0
2024-10-07 13:35:00,224.366,224.667,224.287,224.576,2160.0001
2024-10-07 13:36:00,224.536,224.566,224.096,224.106,2424.0
2024-10-07 13:37:00,224.086,224.367,224.027,224.206,1704.0
2024-10-07 13:38:00,224.257,224.577,224.206,224.417,1800.0
2024-10-07 13:39:00,224.436,224.907,224.436,224.877,2040.0
2024-10-07 13:40:00,224.867,225.046,224.717,224.947,1932.0
2024-10-07 13:41:00,224.936,225.027,224.807,224.967,1380.0
2024-10-07 13:42:00,224.966,224.977,224.686,224.766,1524.0
2024-10-07 13:43:00,224.807,224.966,224.746,224.836,1320.0001
2024-10-07 13:44:00,224.846,224.987,224.796,224.847,1476.0
2024-10-07 13:45:00,224.846,224.927,224.766,224.866,1572.0
2024-10-07 13:46:00,224.866,225.327,224.866,225.176,1764.0001
2024-10-07 13:47:00,225.206,225.377,225.097,225.106,2028.0001
2024-10-07 13:48:00,225.127,225.186,224.936,225.036,1644.0001
2024-10-07 13:49:00,225.037,225.147,224.996,224.997,1596.0
2024-10-07 13:50:00,224.997,224.997,224.816,224.846,1440.0001
2024-10-07 13:51:00,224.836,225.037,224.836,224.977,1692.0
2024-10-07 13:52:00,224.987,225.116,224.987,225.047,1296.0
2024-10-07 13:53:00,225.037,225.046,224.867,224.907,1476.0
2024-10-07 13:54:00,224.887,224.966,224.726,224.826,1524.0
2024-10-07 13:55:00,224.856,225.206,224.836,225.136,1679.9999
2024-10-07 13:56:00,225.157,225.237,224.897,225.197,1824.0
2024-10-07 13:57:00,225.177,225.177,225.007,225.007,1476.0
2024-10-07 13:58:00,225.007,225.176,224.976,225.126,1092.0
2024-10-07 13:59:00,225.116,225.157,224.996,225.026,1932.0
2024-10-07 14:00:00,225.016,225.226,224.997,225.157,2099.9999
2024-10-07 14:01:00,225.167,225.187,225.056,225.087,1848.0
2024-10-07 14:02:00,225.087,225.257,225.057,225.236,1284.0
2024-10-07 14:03:00,225.227,225.366,225.186,225.287,1728.0
2024-10-07 14:04:00,225.296,225.427,225.286,225.416,1764.0001
2024-10-07 14:05:00,225.386,225.517,225.316,225.397,1632.0
2024-10-07 14:06:00,225.406,225.436,225.296,225.407,1620.0
2024-10-07 14:07:00,225.416,225.456,225.327,225.346,1392.0
2024-10-07 14:08:00,225.346,225.347,225.147,225.197,2003.9999
2024-10-07 14:09:00,225.176,225.216,225.026,225.126,1272.0
2024-10-07 14:10:00,225.127,225.127,224.906,224.947,1788.0
2024-10-07 14:11:00,224.956,225.016,224.496,224.586,1860.0
2024-10-07 14:12:00,224.596,224.696,224.436,224.526,1992.0
2024-10-07 14:13:00,224.527,224.627,224.486,224.617,1224.0
2024-10-07 14:14:00,224.616,225.167,224.616,225.047,1632.0
2024-10-07 14:15:00,225.047,225.127,224.916,224.966,1464.0
2024-10-07 14:16:00,224.966,225.176,224.966,225.086,1344.0
2024-10-07 14:17:00,225.096,225.196,225.036,225.186,1212.0
2024-10-07 14:18:00,225.197,225.257,225.146,225.147,1440.0001
2024-10-07 14:19:00,225.086,225.247,225.076,225.247,972.0
2024-10-07 14:20:00,225.256,225.277,225.156,225.197,1188.0
2024-10-07 14:21:00,225.196,225.347,225.186,225.267,1152.0
2024-10-07 14:22:00,225.247,225.387,225.187,225.337,1128.0
2024-10-07 14:23:00,225.347,225.386,225.216,225.266,1368.0
2024-10-07 14:24:00,225.266,225.426,225.266,225.297,1512.0
2024-10-07 14:25:00,225.307,225.407,225.296,225.356,1332.0
2024-10-07 14:26:00,225.357,225.406,225.296,225.367,636.0
2024-10-07 14:27:00,225.397,225.517,225.366,225.476,912.0
2024-10-07 14:28:00,225.476,225.497,225.226,225.256,1164.0
2024-10-07 14:29:00,225.267,225.337,225.216,225.297,888.0
2024-10-07 14:30:00,225.296,225.367,225.226,225.246,1440.0001
2024-10-07 14:31:00,225.246,225.327,225.226,225.266,1235.9999
2024-10-07 14:32:00,225.236,225.257,225.156,225.177,1500.0
2024-10-07 14:33:00,225.197,225.327,225.176,225.306,1092.0
2024-10-07 14:34:00,225.307,225.417,225.306,225.367,888.0
2024-10-07 14:35:00,225.376,225.457,225.316,225.446,828.0
2024-10-07 14:36:00,225.446,225.596,225.426,225.527,840.0
2024-10-07 14:37:00,225.537,225.677,225.496,225.547,1200.0
2024-10-07 14:38:00,225.557,225.557,225.496,225.536,1212.0
2024-10-07 14:39:00,225.527,225.616,225.506,225.546,1260.0
2024-10-07 14:40:00,225.566,225.567,225.347,225.527,1896.0
2024-10-07 14:41:00,225.527,225.567,225.367,225.556,1344.0
2024-10-07 14:42:00,225.566,225.587,225.446,225.576,972.0
2024-10-07 14:43:00,225.587,225.647,225.446,225.487,1452.0
2024-10-07 14:44:00,225.497,225.516,225.336,225.387,1200.0
2024-10-07 14:45:00,225.376,225.497,225.376,225.446,1056.0
2024-10-07 14:46:00,225.476,225.487,225.267,225.267,1152.0
2024-10-07 14:47:00,225.247,225.257,225.136,225.166,1164.0
2024-10-07 14:48:00,225.176,225.257,225.156,225.217,1116.0001
2024-10-07 14:49:00,225.217,225.287,225.176,225.197,888.0
2024-10-07 14:50:00,225.197,225.197,225.106,225.127,876.0
2024-10-07 14:51:00,225.136,225.236,225.126,225.236,1008.0
2024-10-07 14:52:00,225.246,225.246,225.036,225.056,1632.0
2024-10-07 14:53:00,225.057,225.117,225.036,225.066,1344.0
2024-10-07 14:54:00,225.076,225.137,225.036,225.127,876.0
2024-10-07 14:55:00,225.127,225.286,225.127,225.257,1188.0
2024-10-07 14:56:00,225.256,225.397,225.256,225.357,1092.0
2024-10-07 14:57:00,225.356,225.426,225.316,225.336,876.0
2024-10-07 14:58:00,225.357,225.467,225.356,225.386,936.0
2024-10-07 14:59:00,225.396,225.427,225.287,225.297,828.0
2024-10-07 15:00:00,225.286,225.286,225.076,225.137,1692.0
2024-10-07 15:01:00,225.126,225.127,224.906,224.997,972.0
2024-10-07 15:02:00,224.997,224.997,224.717,224.837,1332.0
2024-10-07 15:03:00,224.837,224.846,224.647,224.647,1308.0
2024-10-07 15:04:00,224.657,224.736,224.596,224.736,1332.0
2024-10-07 15:05:00,224.746,224.817,224.626,224.646,1020.0
2024-10-07 15:06:00,224.666,224.666,224.506,224.537,840.0
2024-10-07 15:07:00,224.527,224.656,224.456,224.607,1404.0
2024-10-07 15:08:00,224.607,224.696,224.526,224.687,1056.0
2024-10-07 15:09:00,224.686,224.727,224.546,224.657,948.0
2024-10-07 15:10:00,224.657,224.707,224.596,224.627,792.0
2024-10-07 15:11:00,224.626,224.847,224.626,224.806,1200.0
2024-10-07 15:12:00,224.807,224.906,224.786,224.856,924.0
2024-10-07 15:13:00,224.856,224.967,224.856,224.916,780.0
2024-10-07 15:14:00,224.917,224.996,224.896,224.907,660.0
2024-10-07 15:15:00,224.927,224.946,224.797,224.907,1092.0
2024-10-07 15:16:00,224.906,224.907,224.826,224.876,1080.0
2024-10-07 15:17:00,224.877,224.927,224.846,224.877,672.0
2024-10-07 15:18:00,224.886,225.077,224.886,225.077,1092.0
2024-10-07 15:19:00,225.097,225.107,225.006,225.036,1044.0
2024-10-07 15:20:00,225.047,225.077,225.016,225.037,468.0
2024-10-07 15:21:00,225.017,225.026,224.927,224.967,900.0
2024-10-07 15:22:00,224.957,225.087,224.957,225.086,600.0
2024-10-07 15:23:00,225.097,225.136,225.026,225.077,984.0
2024-10-07 15:24:00,225.057,225.057,224.986,225.007,1056.0
2024-10-07 15:25:00,225.007,225.026,224.926,224.947,912.0
2024-10-07 15:26:00,224.957,224.997,224.906,224.907,852.0
2024-10-07 15:27:00,224.896,225.057,224.857,225.017,876.0
2024-10-07 15:28:00,225.026,225.077,225.006,225.037,1248.0
2024-10-07 15:29:00,225.037,225.087,224.967,225.067,1092.0
2024-10-07 15:30:00,225.066,225.106,225.016,225.057,1056.0
2024-10-07 15:31:00,225.057,225.097,225.006,225.016,780.0
2024-10-07 15:32:00,225.016,225.127,225.016,225.127,852.0
2024-10-07 15:33:00,225.097,225.196,225.066,225.187,948.0
2024-10-07 15:34:00,225.207,225.267,225.186,225.237,744.0
2024-10-07 15:35:00,225.237,225.246,225.016,225.077,912.0
2024-10-07 15:36:00,225.127,225.127,224.936,224.936,756.0
2024-10-07 15:37:00,224.937,224.987,224.916,224.916,828.0
2024-10-07 15:38:00,224.927,224.977,224.736,224.756,1020.0
2024-10-07 15:39:00,224.767,224.847,224.747,224.826,732.0
2024-10-07 15:40:00,224.837,224.966,224.827,224.966,564.0
2024-10-07 15:41:00,224.976,225.027,224.906,224.916,648.0
2024-10-07 15:42:00,224.907,224.996,224.906,224.966,744.0
2024-10-07 15:43:00,224.966,224.966,224.786,224.826,1080.0
2024-10-07 15:44:00,224.817,224.887,224.796,224.817,924.0
2024-10-07 15:45:00,224.817,224.877,224.796,224.846,900.0
2024-10-07 15:46:00,224.837,224.867,224.776,224.827,804.0
2024-10-07 15:47:00,224.826,224.907,224.797,224.886,924.0
2024-10-07 15:48:00,224.896,224.896,224.727,224.756,1020.0
2024-10-07 15:49:00,224.757,224.807,224.737,224.777,552.0
2024-10-07 15:50:00,224.787,224.797,224.696,224.757,780.0
2024-10-07 15:51:00,224.756,224.817,224.696,224.806,540.0
2024-10-07 15:52:00,224.807,224.807,224.736,224.776,564.0
2024-10-07 15:53:00,224.776,224.807,224.717,224.777,972.0
2024-10-07 15:54:00,224.756,224.917,224.747,224.896,744.0
2024-10-07 15:55:00,224.907,224.916,224.776,224.806,924.0
2024-10-07 15:56:00,224.776,224.877,224.756,224.867,696.0
2024-10-07 15:57:00,224.867,224.927,224.836,224.926,744.0
2024-10-07 15:58:00,224.936,224.947,224.876,224.886,732.0
2024-10-07 15:59:00,224.887,224.907,224.856,224.877,672.0
2024-10-07 16:00:00,224.876,224.917,224.827,224.917,1188.0
2024-10-07 16:01:00,224.897,224.906,224.796,224.847,1200.0
2024-10-07 16:02:00,224.847,224.897,224.746,224.777,1284.0
2024-10-07 16:03:00,224.766,224.787,224.716,224.716,672.0
2024-10-07 16:04:00,224.707,224.737,224.686,224.707,636.0
2024-10-07 16:05:00,224.716,224.737,224.606,224.606,768.0
2024-10-07 16:06:00,224.617,224.617,224.486,224.487,936.0
2024-10-07 16:07:00,224.487,224.547,224.487,224.546,336.0
2024-10-07 16:08:00,224.556,224.577,224.496,224.496,672.0
2024-10-07 16:09:00,224.496,224.497,224.276,224.287,1536.0
2024-10-07 16:10:00,224.266,224.387,224.056,224.387,2099.9999
2024-10-07 16:11:00,224.387,224.397,224.296,224.396,948.0
2024-10-07 16:12:00,224.386,224.427,224.276,224.386,936.0
2024-10-07 16:13:00,224.396,224.486,224.386,224.427,672.0
2024-10-07 16:14:00,224.437,224.586,224.426,224.536,780.0
2024-10-07 16:15:00,224.566,224.687,224.556,224.637,756.0
2024-10-07 16:16:00,224.646,224.737,224.636,224.696,684.0
2024-10-07 16:17:00,224.696,224.787,224.686,224.766,672.0
2024-10-07 16:18:00,224.777,224.796,224.716,224.717,504.0
2024-10-07 16:19:00,224.726,224.757,224.707,224.736,648.0
2024-10-07 16:20:00,224.707,224.736,224.617,224.716,744.0
2024-10-07 16:21:00,224.686,224.766,224.686,224.737,540.0
2024-10-07 16:22:00,224.756,224.777,224.746,224.776,516.0
2024-10-07 16:23:00,224.786,224.816,224.716,224.716,432.0
2024-10-07 16:24:00,224.706,224.737,224.676,224.737,660.0
2024-10-07 16:25:00,224.736,224.747,224.596,224.596,708.0
2024-10-07 16:26:00,224.606,224.666,224.557,224.566,588.0
2024-10-07 16:27:00,224.577,224.577,224.476,224.487,648.0
2024-10-07 16:28:00,224.486,224.486,224.316,224.316,660.0
2024-10-07 16:29:00,224.317,224.367,224.226,224.226,792.0
2024-10-07 16:30:00,224.237,224.297,224.207,224.227,996.0
2024-10-07 16:31:00,224.247,224.286,224.106,224.117,1092.0
2024-10-07 16:32:00,224.097,224.147,224.066,224.087,1212.0
2024-10-07 16:33:00,224.067,224.256,224.056,224.186,1092.0
2024-10-07 16:34:00,224.197,224.206,224.126,224.176,996.0
2024-10-07 16:35:00,224.166,224.267,224.166,224.227,672.0
2024-10-07 16:36:00,224.227,224.387,224.226,224.387,648.0
2024-10-07 16:37:00,224.407,224.407,224.296,224.367,636.0
2024-10-07 16:38:00,224.377,224.387,224.316,224.347,612.0
2024-10-07 16:39:00,224.336,224.387,224.236,224.236,504.0
2024-10-07 16:40:00,224.226,224.287,224.196,224.276,912.0
2024-10-07 16:41:00,224.296,224.296,224.226,224.277,672.0
2024-10-07 16:42:00,224.296,224.367,224.256,224.336,504.0
2024-10-07 16:43:00,224.336,224.336,224.226,224.266,840.0
2024-10-07 16:44:00,224.277,224.277,224.136,224.146,936.0
2024-10-07 16:45:00,224.147,224.167,224.066,224.066,1104.0
2024-10-07 16:46:00,224.066,224.077,223.996,224.016,1080.0
2024-10-07 16:47:00,224.017,224.117,224.017,224.096,720.0
2024-10-07 16:48:00,224.096,224.156,224.066,224.097,744.0
2024-10-07 16:49:00,224.096,224.106,224.076,224.106,216.0
2024-10-07 16:50:00,224.096,224.097,223.906,223.966,924.0
2024-10-07 16:51:00,223.956,223.997,223.886,223.936,936.0
2024-10-07 16:52:00,223.946,223.967,223.926,223.967,600.0
2024-10-07 16:53:00,223.976,224.007,223.917,223.927,744.0
2024-10-07 16:54:00,223.927,223.957,223.896,223.937,696.0
2024-10-07 16:55:00,223.926,224.036,223.926,223.997,600.0
2024-10-07 16:56:00,223.997,224.007,223.937,223.947,468.0
2024-10-07 16:57:00,223.967,223.987,223.946,223.957,336.0
2024-10-07 16:58:00,223.956,223.986,223.907,223.947,528.0
2024-10-07 16:59:00,223.956,223.987,223.926,223.946,624.0
2024-10-07 17:00:00,223.947,224.006,223.946,223.986,720.0
2024-10-07 17:01:00,223.997,224.026,223.996,224.026,336.0
2024-10-07 17:02:00,224.016,224.117,224.016,224.117,408.0
2024-10-07 17:03:00,224.137,224.147,224.067,224.136,468.0
2024-10-07 17:04:00,224.127,224.157,224.066,224.157,792.0
2024-10-07 17:05:00,224.176,224.357,224.176,224.267,636.0
2024-10-07 17:06:00,224.296,224.296,224.146,224.207,924.0
2024-10-07 17:07:00,224.197,224.226,224.136,224.217,708.0
2024-10-07 17:08:00,224.217,224.316,224.167,224.316,468.0
2024-10-07 17:09:00,224.316,224.477,224.316,224.477,696.0
2024-10-07 17:10:00,224.467,224.516,224.446,224.487,372.0
2024-10-07 17:11:00,224.486,224.557,224.466,224.497,624.0
2024-10-07 17:12:00,224.477,224.496,224.396,224.397,804.0
2024-10-07 17:13:00,224.396,224.397,224.297,224.356,744.0
2024-10-07 17:14:00,224.357,224.367,224.276,224.277,408.0
2024-10-07 17:15:00,224.297,224.397,224.297,224.336,780.0
2024-10-07 17:16:00,224.337,224.337,224.276,224.276,456.0
2024-10-07 17:17:00,224.286,224.366,224.266,224.366,384.0
2024-10-07 17:18:00,224.367,224.367,224.206,224.246,660.0
2024-10-07 17:19:00,224.256,224.267,224.146,224.156,396.0
2024-10-07 17:20:00,224.147,224.196,224.107,224.107,708.0
2024-10-07 17:21:00,224.107,224.117,224.066,224.096,444.0
2024-10-07 17:22:00,224.107,224.107,223.966,223.977,696.0
2024-10-07 17:23:00,223.976,223.977,223.796,223.837,888.0
2024-10-07 17:24:00,223.836,223.977,223.836,223.927,480.0
2024-10-07 17:25:00,223.927,224.007,223.916,223.947,516.0
2024-10-07 17:26:00,223.937,223.937,223.857,223.906,528.0
2024-10-07 17:27:00,223.907,223.976,223.906,223.916,504.0
2024-10-07 17:28:00,223.937,223.957,223.876,223.897,576.0
2024-10-07 17:29:00,223.896,223.917,223.796,223.797,1080.0
2024-10-07 17:30:00,223.797,223.797,223.707,223.797,1128.0
2024-10-07 17:31:00,223.777,223.826,223.746,223.826,468.0
2024-10-07 17:32:00,223.807,223.936,223.807,223.936,528.0
2024-10-07 17:33:00,223.907,223.926,223.856,223.886,600.0
2024-10-07 17:34:00,223.877,224.027,223.876,223.977,696.0
2024-10-07 17:35:00,223.976,224.027,223.966,223.987,480.0
2024-10-07 17:36:00,223.986,224.047,223.956,224.047,552.0
2024-10-07 17:37:00,224.037,224.037,223.966,224.016,420.0
2024-10-07 17:38:00,223.996,223.997,223.936,223.936,660.0
2024-10-07 17:39:00,223.936,223.946,223.877,223.877,492.0
2024-10-07 17:40:00,223.887,223.897,223.806,223.816,576.0
2024-10-07 17:41:00,223.787,223.877,223.787,223.877,372.0
2024-10-07 17:42:00,223.847,223.847,223.766,223.796,504.0
2024-10-07 17:43:00,223.826,223.857,223.756,223.776,552.0
2024-10-07 17:44:00,223.766,223.787,223.696,223.766,600.0
2024-10-07 17:45:00,223.757,223.817,223.707,223.707,576.0
2024-10-07 17:46:00,223.707,223.757,223.626,223.637,696.0
2024-10-07 17:47:00,223.636,223.637,223.586,223.617,432.0
2024-10-07 17:48:00,223.606,223.637,223.566,223.567,612.0
2024-10-07 17:49:00,223.577,223.607,223.517,223.576,1068.0
2024-10-07 17:50:00,223.577,223.577,223.416,223.456,1212.0
2024-10-07 17:51:00,223.446,223.466,223.396,223.466,744.0
2024-10-07 17:52:00,223.457,223.537,223.457,223.537,492.0
2024-10-07 17:53:00,223.536,223.637,223.536,223.617,672.0
2024-10-07 17:54:00,223.606,223.766,223.567,223.726,1248.0
2024-10-07 17:55:00,223.726,223.747,223.636,223.707,624.0
2024-10-07 17:56:00,223.717,223.766,223.666,223.687,516.0
2024-10-07 17:57:00,223.686,223.707,223.646,223.696,396.0
2024-10-07 17:58:00,223.696,223.747,223.676,223.746,672.0
2024-10-07 17:59:00,223.747,223.847,223.746,223.836,528.0
